,ID,Nome,Sobrenome,Idade,Sexo,Produto,Valor,Forma_pag,Qte_vz,Data_compra
0,0,Agatha,Abreu,25,F,sapatos,1134.94,avista,nan,3-1-2020
1,1,Agatha,Aguiar,26,F,acessorios,603.49,avista,nan,3-9-2020
2,2,Agatha,Albuquerque,41,F,acessorios,676.37,avista,nan,31-10-2019
3,3,Agatha,Alencar,33,F,acessorios,468.66,avista,nan,16-11-2020
4,4,Agatha,Almeida,29,F,acessorios,677.35,parcelado,4,27-11-2019
5,5,Agatha,Alvarenga,50,F,roupas,526.08,parcelado,2,18-5-2018
6,6,Agatha,Alves,27,F,roupas,1496.57,parcelado,4,6-12-2019
7,7,Agatha,Amaral,27,F,roupas,256.55,parcelado,2,8-3-2020
8,8,Agatha,Andrade,52,F,sapatos,389.00,parcelado,2,20-11-2019
9,9,Agatha,Anjos,30,F,lencos,989.10,parcelado,4,4-3-2020
10,10,Agatha,Assis,54,F,lencos,779.00,avista,nan,27-11-2020
11,11,Agatha,Azevedo,21,F,roupas,1230.79,parcelado,6,13-10-2019
12,12,Agatha,Barbosa,40,F,acessorios,1108.32,avista,nan,4-2-2018
13,13,Agatha,Barros,37,F,roupas,1419.13,avista,nan,3-7-2018
14,14,Agatha,Bernardes,34,F,lencos,1412.44,parcelado,2,13-11-2019
15,15,Agatha,Brasil,55,F,lencos,82.98,avista,nan,13-8-2020
16,16,Agatha,Cabral,50,F,sapatos,1112.30,avista,nan,29-7-2020
17,17,Agatha,Carvalho,35,F,chapeus,1185.20,avista,nan,23-8-2018
18,18,Agatha,Castro,52,F,lencos,602.25,parcelado,3,2-2-2019
19,19,Agatha,Cruz,36,F,sapatos,867.44,avista,nan,15-3-2020
20,20,Agatha,Dias,55,F,sapatos,335.56,parcelado,2,31-11-2020
21,21,Agatha,Duarte,21,F,acessorios,618.72,avista,nan,26-9-2018
22,22,Agatha,Esteves,25,F,chapeus,537.48,parcelado,3,6-8-2018
23,23,Agatha,Faria,34,F,sapatos,1108.28,avista,nan,18-11-2019
24,24,Agatha,Faro,37,F,lencos,630.60,parcelado,3,20-11-2019
25,25,Agatha,Fontes,22,F,roupas,697.03,avista,nan,25-3-2020
26,26,Agatha,Freire,36,F,roupas,278.97,avista,nan,11-6-2018
27,27,Agatha,Gama,38,F,sapatos,1380.28,parcelado,2,15-3-2019
28,28,Agatha,Junqueira,43,F,lencos,785.39,avista,nan,26-7-2019
29,29,Agatha,Leite,40,F,chapeus,867.33,avista,nan,14-2-2020
30,30,Agatha,Lopes,53,F,lencos,671.22,parcelado,3,8-10-2019
31,31,Agatha,Mendes,45,F,lencos,857.60,avista,nan,20-10-2019
32,32,Agatha,Morais,24,F,sapatos,19.67,parcelado,6,18-6-2019
33,33,Agatha,Martins,35,F,lencos,863.53,avista,nan,13-4-2020
34,34,Agatha,Muniz,52,F,lencos,487.48,avista,nan,2-11-2020
35,35,Agatha,Neves,38,F,sapatos,260.38,parcelado,3,3-11-2020
36,36,Agatha,Nunes,39,F,chapeus,1425.94,parcelado,6,2-12-2020
37,37,Agatha,Paes,30,F,roupas,685.61,parcelado,3,1-7-2020
38,38,Agatha,Pires,29,F,sapatos,935.57,parcelado,2,7-8-2020
39,39,Agatha,Queiroz,43,F,acessorios,858.63,avista,nan,22-2-2019
40,40,Agatha,Reis,53,F,sapatos,1372.08,parcelado,6,27-10-2019
41,41,Agatha,Rios,52,F,sapatos,716.52,avista,nan,25-11-2019
42,42,Agatha,Serra,38,F,lencos,826.92,parcelado,3,10-8-2020
43,43,Agatha,Silva,37,F,acessorios,799.67,avista,nan,19-12-2020
44,44,Agatha,Sousa,27,F,lencos,1190.55,parcelado,6,25-11-2020
45,45,Agatha,Teles,39,F,sapatos,148.45,parcelado,5,13-11-2018
46,46,Agatha,Trindade,32,F,lencos,1188.20,parcelado,2,22-4-2019
47,47,Agatha,Vaz,54,F,sapatos,198.40,avista,nan,2-1-2020
48,48,Alice,Abreu,53,F,chapeus,642.21,parcelado,2,5-12-2019
49,49,Alice,Aguiar,52,F,chapeus,699.57,avista,nan,14-8-2020
50,50,Alice,Albuquerque,20,F,sapatos,507.52,avista,nan,14-6-2020
51,51,Alice,Alencar,51,F,chapeus,1387.06,parcelado,3,1-3-2019
52,52,Alice,Almeida,46,F,roupas,1494.56,avista,nan,11-11-2018
53,53,Alice,Alvarenga,50,F,chapeus,169.19,parcelado,4,22-11-2019
54,54,Alice,Alves,45,F,sapatos,613.69,parcelado,4,25-6-2020
55,55,Alice,Amaral,33,F,sapatos,771.17,parcelado,3,9-4-2019
56,56,Alice,Andrade,28,F,acessorios,1132.33,parcelado,6,13-12-2020
57,57,Alice,Anjos,29,F,acessorios,1048.94,avista,nan,22-3-2020
58,58,Alice,Assis,20,F,lencos,643.11,avista,nan,27-4-2018
59,59,Alice,Azevedo,19,F,roupas,833.23,avista,nan,10-3-2019
60,60,Alice,Barbosa,50,F,acessorios,1335.41,avista,nan,23-12-2020
61,61,Alice,Barros,24,F,acessorios,935.87,parcelado,3,26-8-2019
62,62,Alice,Bernardes,22,F,sapatos,490.29,avista,nan,11-10-2019
63,63,Alice,Brasil,38,F,chapeus,716.34,avista,nan,25-3-2018
64,64,Alice,Cabral,40,F,sapatos,331.59,parcelado,2,29-9-2019
65,65,Alice,Carvalho,44,F,roupas,788.73,avista,nan,17-6-2019
